track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,intrumentalness,liveness,valence,tempo,time_signature,duration_min,labels
2IqL7QcS7HjohrSxQIQJJj,0.442,0.873,8,-9.286,1,0.0594,0.0862,0.00536,0.265,0.373,97.408,4,3.8911166666666666,2
1GaPtHjkV1FmdvF8c1KhwG,0.604,0.56,11,-11.887,0,0.0562,0.0336,3.54e-05,0.115,0.309,105.296,4,4.2751166666666665,1
0wMGccSxwaLDpDqowlkJT7,0.753,0.771,9,-4.556,0,0.0862,0.028,0.0,0.0434,0.91,104.016,4,3.1813333333333333,1
6KT2cb4PB9Iw83VkdEBoFn,0.605,0.758,2,-5.315,0,0.0432,0.13,0.0,0.0909,0.848,140.025,4,3.867783333333333,1
2phNY2bHpAbROCrpAZw2R2,0.826,0.793,6,-3.645,0,0.047,0.00518,0.00347,0.05,0.261,119.972,4,3.09955,2
3ut5cor9UTWfizXGF2r5Dy,0.698,0.729,2,-5.948,0,0.0647,0.127,0.0,0.296,0.83,139.992,4,3.862,1
5w6EvyvomUSWsF430iixmc,0.73,0.535,9,-9.71,1,0.0308,0.255,0.00503,0.0695,0.492,122.537,4,3.88155,0
5XPeE6Nf7Lt5onFGhqeRci,0.748,0.601,2,-6.985,1,0.028,0.462,0.000125,0.146,0.564,103.163,4,3.157783333333333,1
1dLeSutde2Nt4DIWaLKxXO,0.86,0.627,2,-7.758,1,0.049,0.485,0.000156,0.104,0.91,113.758,4,3.15355,1
68UOVeAzb3mTerDzuDyJxk,0.764,0.709,4,-7.782,0,0.0364,0.116,2.38e-06,0.247,0.933,112.546,4,3.597933333333333,1
6eyiIH5DfjHkqRQMZvdLUV,0.767,0.794,0,-7.913,1,0.0409,0.287,0.355,0.101,0.905,115.19,4,4.636,1
0MsZ9Les11qQY8NEBA9Pwd,0.675,0.666,5,-9.612,1,0.0297,0.0543,7.55e-05,0.122,0.832,108.34,4,5.7682166666666665,1
4z5ANf1h5cohMaoz4De5RV,0.77,0.609,5,-11.346,1,0.0352,0.208,0.475,0.0632,0.917,119.346,4,4.979783333333334,1
2MQUTZtyF7azClmtcbQwFB,0.778,0.64,2,-8.236,1,0.0304,0.204,0.000125,0.13,0.781,112.237,4,4.43,1
4abmivWHbLtFMzc0GUfSz6,0.672,0.785,2,-7.303,1,0.0386,0.539,2.26e-05,0.098,0.835,126.918,4,3.76045,1
1PgsGoRjcWuEHGNi7WKcad,0.807,0.707,2,-5.993,1,0.0393,0.0498,0.033,0.131,0.627,132.032,4,3.7918666666666665,1
4RvJ5sXFvWt8n9HHt7yBRD,0.699,0.7,11,-5.314,0,0.0299,0.195,3.79e-06,0.0697,0.724,130.824,4,4.569333333333334,1
