track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,intrumentalness,liveness,valence,tempo,time_signature,track_popularity,artist_popularity,duration_min,duration_group,speechiness_group,liveness_group,predicted_label
5D2mYZuzcgjpchVY1pmTPh,0.614,0.574,11,-7.961,1,0.466,0.0253,3.2e-05,0.38,0.755,125.173,5,82,81,3.485116666666667,1,1,0,1
4nva9EpKntUTs6CRSGBCn9,0.489,0.692,1,-6.672,1,0.41,0.0322,0.00608,0.315,0.527,96.946,4,80,81,3.9617833333333334,1,1,0,2
2D1hlMwWWXpkc3CZJ5U351,0.7,0.758,10,-3.012,0,0.342,0.0444,1.3e-05,0.0401,0.889,78.693,4,71,81,4.157783333333334,1,1,0,1
2I9foKseoFQh07p6sD2voE,0.653,0.826,6,-2.93,0,0.354,0.0153,0.00146,0.131,0.416,108.52,5,74,81,4.27045,1,1,0,1
69bHJ9qs5FrUJbKP8xU8uZ,0.925,0.659,3,-4.763,1,0.231,0.206,7.88e-05,0.279,0.71,97.018,4,76,81,3.57045,1,0,0,1
41bIQPBE1lFN0mmw6Lmssz,0.576,0.807,6,-3.908,0,0.317,0.353,0.000363,0.0512,0.908,90.012,4,76,81,3.74045,1,0,0,1
7rK0iM6jwuo1oizdx8suQA,0.853,0.776,8,-4.221,1,0.261,0.0714,0.0,0.181,0.659,94.028,4,68,88,3.53355,1,0,0,1
7JeKXMQKm6GoLGTkNy2jZ0,0.892,0.631,11,-2.522,0,0.302,0.244,0.0,0.0235,0.838,93.975,4,66,81,3.2773333333333334,1,0,0,1
1wI3UvluGGKUeFeVFsP9do,0.545,0.64,10,-3.529,0,0.308,0.368,0.0,0.111,0.574,181.733,4,63,81,4.24155,1,0,0,1
3VqHuw0wFlIHcIPWkhIbdQ,0.566,0.834,6,-8.412,0,0.0298,0.00277,0.008,0.0625,0.621,123.296,4,78,80,5.526,2,0,0,1
2CtemffYhT0DJWcT1XW047,0.547,0.394,4,-9.793,0,0.0262,0.0522,6.4e-06,0.0795,0.17,142.37,3,72,80,6.478883333333333,2,0,0,0
54bm2e3tk8cliUz3VSdCPZ,0.539,0.828,4,-9.108,0,0.035,0.00067,0.421,0.154,0.562,105.25,4,74,80,8.589783333333333,2,0,0,2
3ZpWy5rBZv2aLQAldnmTsP,0.511,0.972,10,-3.751,1,0.0413,5.36e-06,0.00101,0.19,0.532,132.97,4,67,80,5.08155,2,0,0,2
7lwvxYumAEo10lzAplRGXM,0.531,0.583,7,-9.47,1,0.0256,0.0184,0.00624,0.255,0.207,139.503,4,67,80,6.4526666666666666,2,0,0,0
0LAcM6I7ijW4VVW0aytl1t,0.438,0.687,7,-9.15,1,0.0619,0.000668,0.0801,0.42,0.426,103.01,3,72,80,7.435766666666667,2,0,0,2
51YZAJhOwIC5Gg3jMbAmhZ,0.512,0.86,0,-6.145,1,0.0703,0.00631,0.00528,0.0652,0.258,117.909,4,73,80,5.166216666666666,2,0,0,2
3pwmJJRlr8nXNN9PFD18np,0.386,0.996,11,-2.96,0,0.0754,1.15e-05,0.000836,0.116,0.188,130.573,4,53,80,3.428,1,0,0,2
5UaDi8KzCGJqFfVAOBfXhi,0.624,0.876,7,-6.005,1,0.0342,0.000926,0.00164,0.0561,0.453,89.24,4,69,80,5.41,2,0,0,2
6ZCh9hBeFzMIPycRnyPqZT,0.425,0.972,4,-3.448,0,0.045,2.42e-05,0.0202,0.239,0.282,101.125,4,46,80,5.50755,2,0,0,2
3AJwUDP919kvQ9QcozQPxg,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,4,91,86,4.4462166666666665,1,0,0,0
1mea3bSkSGXuIRvnydlB5b,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,4,88,86,4.03955,1,0,0,1
7D0RhFcb3CrfPuTJ0obrod,0.371,0.268,1,-10.506,1,0.0281,0.748,0.0517,0.104,0.165,102.617,3,87,86,3.784883333333333,1,0,0,0
6RUKPb4LETWmmr3iAEQktW,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,4,87,78,4.1193333333333335,1,0,0,1
75JFxkI2RXiU7L9VXzMkle,0.557,0.442,5,-7.224,1,0.0243,0.731,1.46e-05,0.11,0.213,146.277,4,86,86,5.16,2,0,0,0
0FDzzruyVECATHXKHFs9eJ,0.545,0.675,6,-6.474,1,0.0279,0.00617,0.00197,0.209,0.162,124.97,4,87,86,4.46445,1,0,0,0
6nek1Nin9q48AVZcWs9e9D,0.449,0.585,5,-6.761,1,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631,4,86,86,4.645316666666667,1,0,0,0
3RiPr603aXAoi4GHyXx0uy,0.491,0.693,0,-6.487,0,0.0377,0.211,6.92e-06,0.325,0.412,90.027,4,85,86,4.30445,1,0,0,1
46HNZY1i7O6jwTA7Slo2PI,0.573,0.711,1,-6.268,0,0.0406,0.0114,0.0,0.328,0.47,105.006,4,82,86,3.7699666666666665,1,0,0,1
7LVHVU3tWfcxj5aiPFEW4Q,0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178,4,85,86,4.92555,1,0,0,0
2Foc5Q5nqNiosCNqttzHof,0.794,0.811,6,-8.966,0,0.038,0.0426,1.07e-06,0.101,0.862,116.047,4,83,79,4.140216666666666,1,0,0,1
0DiWol3AO6WpXZgp0goxAV,0.613,0.697,2,-8.618,1,0.133,0.0194,0.0,0.332,0.476,122.746,4,79,79,5.339283333333333,2,0,0,1
2cGxRwrMyEAp8dEbuZaVv6,0.775,0.585,10,-9.516,0,0.0271,0.0422,0.619,0.077,0.518,109.942,4,77,79,5.626,2,0,0,0
69kOkLUCkxIZYexIgSG8rq,0.81,0.793,6,-9.404,0,0.0403,0.0378,1.77e-06,0.072,0.863,116.05,4,76,79,6.16045,2,0,0,1
1pKYYY0dkg23sQQXi0Q5zN,0.956,0.795,7,-5.311,1,0.15,0.00356,0.889,0.0906,0.841,121.294,4,74,79,7.158883333333334,2,0,0,1
5W3cjX2J3tjhG8zb6u0qHn,0.817,0.716,6,-8.898,0,0.144,0.0427,0.00263,0.358,0.692,123.474,4,73,79,3.744883333333333,1,0,0,1
1NeLwFETswx8Fzxl2AFl91,0.875,0.475,9,-12.673,0,0.0986,0.44,0.72,0.046,0.384,99.958,4,71,79,3.877783333333334,1,0,0,0
5CMjjywI0eZMixPeqNd75R,0.832,0.659,10,-7.828,0,0.057,0.0839,0.00114,0.0753,0.674,100.163,4,70,79,5.898216666666666,2,0,0,1
2LD2gT7gwAurzdQDQtILds,0.605,0.687,9,-13.928,0,0.045,0.479,0.949,0.104,0.12,106.896,4,69,79,5.753116666666667,2,0,0,0
2VEZx7NWsZ1D0eJ4uv5Fym,0.644,0.664,9,-8.398,1,0.0332,0.048,0.867,0.342,0.53,124.726,4,67,79,5.022883333333334,2,0,0,1
60a0Rd6pjrkxjPbaKzXjfq,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143,4,88,83,3.6146666666666665,1,0,0,2
2nLtzopw4rPReszdYBJU6h,0.496,0.863,9,-4.153,1,0.0381,0.0046,0.0,0.639,0.243,110.018,4,87,83,3.0931166666666665,1,0,0,2
18lR4BzEs7e3qzc0KVkTpU,0.623,0.93,5,-5.285,1,0.0324,0.0141,1.64e-06,0.138,0.287,120.119,4,83,83,3.4268833333333335,1,0,0,1
5sNESr6pQfIhL3krM8CtZn,0.687,0.793,2,-4.254,1,0.166,0.0603,0.0,0.582,0.751,107.045,4,81,82,3.4288833333333333,1,0,0,1
3K4HG9evC7dg3N0R9cYqk4,0.492,0.969,9,-4.419,1,0.0491,0.0014,1.32e-06,0.0787,0.538,95.136,4,82,83,2.622216666666666,0,0,0,2
4Yf5bqU3NK4kNOypcrLYwU,0.554,0.978,4,-3.554,1,0.131,0.111,0.0,0.0731,0.594,135.095,4,82,83,2.71,0,0,0,2
0UFDKFqW2oGspYeYqo9wjA,0.529,0.967,1,-3.647,0,0.0508,0.114,0.0,0.61,0.596,140.127,4,80,83,2.772883333333333,0,0,0,2
