tracks_id,danceability,energy,key,loudness,mode,speechiness,acousticness,intrumentalness,liveness,valence,tempo,time_signature,duration_min,labels
59fi7eaSe4DuCqfua35m2W,0.621,0.568,2,-8.795,1,0.0311,0.145,1.65e-06,0.108,0.724,148.047,4,3.5180833333333332,1
09iyGiljLWRYXdRazFkdtJ,0.638,0.634,6,-6.474,1,0.0468,0.214,0.0,0.0866,0.473,92.097,4,3.2737,1
3UJZ4VcHfSWyrMky8vobzv,0.825,0.387,0,-10.36,1,0.0364,0.756,0.000171,0.0866,0.794,126.067,4,3.4151166666666666,0
2xPV95cfbyusygMTxpa3SW,0.544,0.572,0,-6.205,1,0.0319,0.118,0.0,0.234,0.52,169.885,4,3.2708833333333334,0
548ddxWI4sZKK1aCLuMR16,0.877,0.618,5,-5.597,0,0.0456,0.0654,1e-05,0.056,0.846,90.997,4,4.0453833333333336,1
3kb9vlB7NCKHNHvYyp8EaL,0.687,0.75,11,-4.536,1,0.0961,0.107,3.05e-06,0.161,0.916,98.987,4,2.875566666666667,1
5nWsaKPbHG8UpBqkaBJGrE,0.627,0.926,9,-2.134,1,0.0479,0.103,0.0,0.29,0.713,109.992,4,3.016,2
4WUduEPZZG6wiE9B5IklnY,0.476,0.744,6,-6.602,1,0.0515,0.00397,0.000173,0.0982,0.159,127.934,4,3.9943,2
7sxrWEZenpKgxDxekifRUk,0.623,0.922,1,-3.013,1,0.0534,0.000815,0.0,0.069,0.681,135.976,4,3.80785,2
0BAoNo4799TRKGWhgg7hMy,0.469,0.976,4,-4.103,1,0.28,0.0591,6.17e-05,0.403,0.501,163.987,4,3.448383333333333,2
35eAXKpNIwmKAqADGz3wKY,0.468,0.829,9,-5.42,0,0.0808,0.00108,0.0,0.0679,0.35,182.984,4,3.1411166666666666,2
7hVsdXC9zRDiWFfhdmkYC8,0.747,0.911,4,-2.992,1,0.058,0.0533,0.0,0.0706,0.906,120.042,4,3.4204833333333333,1
5sjEQjDkEYOr1RB6n5acXD,0.776,0.566,0,-7.561,1,0.0739,0.366,0.0,0.451,0.652,139.937,4,3.6637833333333334,1
7fKF4HdftIEt3lLAy3rDG6,0.648,0.564,5,-10.269,1,0.0682,0.673,0.0,0.115,0.377,92.958,4,3.5873,1
5X4b5yuoihfPbZMzSOhg8M,0.467,0.855,0,-5.485,1,0.114,0.00686,0.0126,0.0793,0.425,184.087,4,3.137783333333333,2
0oZw3H6FPKh60aEFvL3q2Z,0.6,0.589,10,-7.297,1,0.0315,0.72,0.0,0.0634,0.537,139.687,3,3.7542166666666668,0
0UnRCKkL5LCZbaTO0kHKMk,0.584,0.796,0,-4.951,1,0.0362,0.0633,0.000247,0.318,0.365,92.011,4,3.2537833333333332,1
3awm1x3kGmYIVrkNDBFP6U,0.588,0.598,11,-8.061,1,0.0361,0.122,0.0,0.117,0.292,105.024,4,3.5071166666666667,1
3Sz51kDvFhngNDinn8WRb5,0.717,0.858,0,-4.514,1,0.0256,0.0595,0.158,0.0957,0.464,111.472,4,3.73245,1
582EVyAFKmKPa1bVPSDurJ,0.486,0.677,5,-5.227,1,0.0314,0.00252,0.0,0.102,0.913,120.576,4,3.26645,2
2MXj4Y1oxBEbrvUG3Xw80G,0.577,0.927,7,-4.218,1,0.0337,0.0818,7.22e-06,0.0784,0.607,123.042,4,3.5816166666666667,1
0vud1aGRNlwzuVGE3AfWzs,0.697,0.772,8,-5.27,1,0.0356,0.193,2.68e-06,0.0846,0.71,119.966,4,3.9465166666666667,1
6ItGPha13j36IiQlvubGrT,0.471,0.464,11,-7.941,1,0.0301,0.702,5.59e-05,0.115,0.296,186.875,4,4.20245,0
6dBZy6s7ThEQAQz49Ff2dG,0.602,0.699,10,-5.097,0,0.0264,0.00208,0.00143,0.12,0.283,88.026,4,4.928,0
0DcBU93zLXGRdPPbUnP1iS,0.372,0.512,7,-8.135,1,0.028,0.119,0.0,0.126,0.554,160.859,4,3.888,0
7mV04bSkXpqKyXnMHO6YwN,0.433,0.57,0,-7.066,1,0.032,0.198,0.00724,0.495,0.6,139.504,4,3.7977833333333333,0
4pyAfnaYh9K8BszgqxCZ1x,0.626,0.84,7,-6.22,1,0.047,0.549,0.00469,0.175,0.812,98.982,4,2.648216666666667,1
3qEzgPFbtr5PZQPZ3HfZ3v,0.555,0.762,11,-7.609,1,0.0334,0.00249,0.0,0.0789,0.683,91.026,4,4.18735,1
4AQadviQto69JLxuPUdDgP,0.44,0.648,0,-6.074,1,0.0278,0.00178,3.91e-06,0.115,0.464,82.075,4,3.6842166666666665,0
4JbKTG0iQ41As64aMNKkit,0.417,0.726,9,-5.946,1,0.0291,0.0203,0.055,0.0986,0.63,92.834,4,3.6033333333333335,0
3EF2VstbPbRUDWpGmzWP7F,0.686,0.814,7,-4.999,1,0.0347,0.22,0.0,0.362,0.681,100.005,4,3.03955,1
2i7VNdupOXVbHD8R4669T7,0.348,0.562,6,-5.437,1,0.0305,0.0219,0.000321,0.0989,0.549,142.333,4,3.6633333333333336,0
7iOyMOxdOULvXqUqC26spJ,0.627,0.633,10,-7.41,0,0.0305,0.133,7.07e-05,0.216,0.763,85.999,4,3.2342166666666667,1
6ImpVOOzNrrzi5k6HiVSIk,0.744,0.692,2,-7.273,1,0.0375,0.00617,0.00549,0.0653,0.746,122.992,4,3.856883333333333,1
324B66fyk2vci1bYXB4YnL,0.28,0.829,0,-6.332,1,0.0875,0.0451,0.0,0.354,0.483,159.1,4,3.12445,2
5kjaMjkQxkJYZiDSIbuIF8,0.596,0.888,11,-3.585,1,0.0378,0.000875,0.0,0.0861,0.727,102.016,4,3.7666666666666666,2
4hqsg6viSC2UoLKUydMFOO,0.221,0.874,6,-4.412,1,0.0493,3.42e-05,0.000272,0.359,0.552,191.001,4,3.3733333333333335,2
4LCOFsWBoBlGw3qf33dl5V,0.482,0.42,0,-9.951,1,0.0296,0.931,0.663,0.105,0.107,119.975,4,3.6666666666666665,0
