video_id,comment_count,like_count,view_count,rate_v_c,rate_v_l,rate_c_l,outlier,comment_bin,like_bin,view_bin
96NgGuKQcmo,680,53232,5602001,-0.013,-0.037,-0.039,1,3,3,2
-bxXoLXYa0k,4,380,43953,-0.01,-0.037,-0.039,1,3,3,3
O5GE5UvF9ZI,199,23795,1634855,-0.013,-0.037,-0.039,1,2,2,1
YMVM-irrK7Y,132,6322,474434,-0.037,-0.037,-0.039,1,2,1,1
uLllyFfFKUY,34,1371,135860,-0.036,-0.037,-0.039,1,1,0,0
zUCWThM7Hdg,87,3417,144944,-0.047,-0.037,-0.039,1,2,1,1
pJWUz8W2cuo,174,16204,1198110,-0.02,-0.037,-0.039,1,3,2,1
iuNa2AZ9roI,229,4581,221943,-0.051,-0.037,-0.039,1,1,0,1
yNSpLqmY6K0,4629,89097,15064463,-0.039,-0.037,-0.039,1,1,1,1
atYZVGL2iCQ,837,28115,4310628,-0.029,-0.037,-0.039,1,0,0,0
Gh6JkwZ-5QM,549,20667,1545858,-0.041,-0.037,-0.039,1,4,4,4
qW0bi_Uo6l4,1061,33722,4164675,-0.036,-0.037,-0.039,1,1,1,2
ihrUZRxgef4,2648,122568,17655055,-0.021,-0.037,-0.039,1,0,0,0
LL9VcxD2Ulw,614,24593,5219482,-0.012,-0.036,-0.039,1,2,1,2
1OiCbO-u51k,275,12218,1548714,-0.027,-0.037,-0.039,1,0,0,0
toUlKZHj5XA,662,28492,4640140,-0.02,-0.037,-0.039,1,0,0,1
fV7GEqbC5r0,3766,164206,84124162,0.06,-0.036,-0.039,1,0,0,0
a1HJKZZMUOE,1396,24426,8014150,-0.026,-0.036,-0.039,1,0,0,0
bcFSfM7MGkE,3439,133031,59197060,0.034,-0.036,-0.039,1,2,2,2
_hLcN5d0lUY,1225,45894,12522346,-0.003,-0.036,-0.039,1,0,0,0
6RUIeX6UCT8,6770,138525,19705475,-0.041,-0.037,-0.039,1,1,1,1
S5WRWus7xDA,629,6944,492583,-0.052,-0.037,-0.039,1,2,1,2
Nk38Ukv-GuI,43,2454,237238,-0.028,-0.037,-0.039,1,3,2,2
D1xmXn7gLVg,334,3959,209102,-0.053,-0.037,-0.039,1,2,2,2
4ObXcoTjpkk,171,3189,171782,-0.051,-0.037,-0.039,1,1,1,1
Ob4cgakHwsQ,608,47372,3558519,-0.026,-0.037,-0.039,1,1,1,1
eud5AurOxm0,702,15003,1002733,-0.049,-0.037,-0.039,1,2,2,1
j7kjHDKZpSw,953,18214,2108290,-0.045,-0.037,-0.039,1,2,2,2
JRIKNINTFls,1707,33888,4115719,-0.043,-0.037,-0.039,1,2,2,1
z52P74dnPxY,54,2457,207456,-0.036,-0.037,-0.039,1,1,0,0
ah9l0OB1ViE,70,3839,669375,-0.007,-0.037,-0.039,1,0,0,0
t5Da9RjQDgM,337,20746,4576207,0.015,-0.036,-0.039,1,4,4,4
GU6N_3FrfxM,39,1566,183306,-0.032,-0.037,-0.039,1,1,1,1
F7TsNiNVH-A,4,826,66794,0.014,-0.037,-0.039,1,4,4,4
jbet2MXGhTM,42,1046,40289,-0.051,-0.037,-0.039,1,3,3,3
Ixh8ivM3r8c,116,6394,746880,-0.023,-0.037,-0.039,1,2,2,2
yzx7vdzSAAM,38,1589,142847,-0.037,-0.037,-0.039,1,2,1,2
XexFdaap5HI,32,988,36494,-0.05,-0.037,-0.039,1,2,2,2
p2Rch6WvPJE,80283,3364753,750206005,-0.007,-0.036,-0.039,1,3,3,3
9_hKXk2qSuw,22178,577224,123680838,-0.027,-0.036,-0.039,1,2,2,2
pRFEz2MjZgg,12100,369374,73072160,-0.025,-0.036,-0.039,1,3,2,2
wIgOL21S98o,9860,313971,55586581,-0.027,-0.037,-0.039,1,2,1,2
bvd3qCnsAaY,13033,388872,77046597,-0.025,-0.036,-0.039,1,2,1,2
2yQ0Fll_9pM,6866,189136,30169396,-0.033,-0.037,-0.039,1,1,2,1
EjW7WzozgI0,32910,557605,106962338,-0.039,-0.036,-0.039,1,0,0,0
xMz1kwMY19Q,2757,70421,7825452,-0.041,-0.037,-0.039,1,3,3,2
wpaR3wzTlvo,17735,739252,165330080,-0.007,-0.036,-0.039,1,1,3,2
JB5FxcI7Pyw,4931,151693,25361560,-0.029,-0.037,-0.039,1,0,1,1
1plPyJdXKIY,58284,2083850,341035637,-0.026,-0.037,-0.039,1,3,2,2
jEJa7t4ST0I,6868,189972,17713108,-0.043,-0.037,-0.039,1,2,2,2
I7dSVg00Rsg,655,15553,1332731,-0.045,-0.037,-0.039,1,0,1,1
Zwoi8MFQjg0,38,8809,542970,0.017,-0.037,-0.039,1,1,1,0
EoezCLhQFaE,2181,54644,6175632,-0.041,-0.037,-0.039,1,0,1,0
4DB6HNvdxDw,673,21669,1869802,-0.042,-0.037,-0.039,1,1,1,1
z0PBmqJ3XPI,1112,34927,4244634,-0.036,-0.037,-0.039,1,1,1,1
dKYjId-JUCE,27,1262,75302,-0.042,-0.037,-0.039,1,2,2,2
erOZ2_vV6hQ,5907,235387,54973701,-0.008,-0.036,-0.039,1,1,1,1
FltzZX30XyY,1305,49367,7770107,-0.025,-0.037,-0.039,1,1,1,1
nXLyy2ALJE4,8139,314665,40690742,-0.03,-0.037,-0.039,1,0,0,0
206EOizk_po,856,22325,2557217,-0.041,-0.037,-0.039,1,1,1,1
jabmx3QoJGA,29996,1047818,228248115,-0.016,-0.036,-0.039,1,2,2,2
XRFJd_VjqJk,135,5985,1831821,0.014,-0.036,-0.039,1,0,0,1
dxCe0b5vVh8,6033,293675,70438255,0.005,-0.036,-0.039,1,3,3,3
pUXR2T6XGBM,385,21384,2371763,-0.024,-0.037,-0.039,1,2,2,2
AHBdxWfXpvg,1394,31145,5353417,-0.036,-0.037,-0.039,1,1,1,1
UPnMFUsKm8w,71274,1793613,325283150,-0.032,-0.037,-0.039,1,2,2,3
KhnHqMw_bMU,113,4716,224648,-0.046,-0.037,-0.039,1,2,2,3
Dp0WEz9IwsQ,97,4430,235719,-0.044,-0.037,-0.039,1,2,2,3
X0GWC5HdFWc,1345,96949,17606029,0.012,-0.037,-0.039,1,2,2,3
mUupBfoxsJ4,3265,157390,21535244,-0.022,-0.037,-0.039,1,2,2,3
8QymRjbCJTY,3600,266660,50943872,0.018,-0.036,-0.039,1,3,2,2
ojuSVT-wo5c,4867,149173,30143736,-0.024,-0.036,-0.039,1,2,1,2
vq1ztJsbRek,5583,208156,52706468,-0.007,-0.036,-0.039,1,3,2,2
qExd-3oCTl4,72540,2778939,766681513,-0.001,-0.036,-0.039,1,1,1,1
q1i6g3VMcII,11,128,51468,-0.034,-0.036,-0.039,1,1,0,0
d3fXmjU3DSY,7155,184576,45580927,-0.023,-0.036,-0.039,1,2,2,2
3UarBblr1r4,1211,22576,3256497,-0.042,-0.037,-0.039,1,2,1,2
egQBtvnYvtI,3723,170454,26238971,-0.019,-0.037,-0.039,1,0,0,0
5ABFhCujtk4,1469,31440,6981480,-0.031,-0.036,-0.039,1,4,4,4
SSrvaAHBP7k,372,9376,210104,-0.053,-0.037,-0.039,1,1,1,1
t3RzZHWmbBw,973,22682,4581673,-0.032,-0.036,-0.039,1,1,1,2
-eG_lr7i-ek,5087,151223,55274202,0.001,-0.036,-0.039,1,1,1,2
dUIn5OAPS5s,5579,255947,127452532,0.063,-0.036,-0.039,1,2,2,2
X-Xqqwa4o-E,4133,233810,120201747,0.095,-0.036,-0.039,1,1,1,2
HvhCwQmbCMo,257,6920,1566640,-0.024,-0.036,-0.039,1,0,0,0
lWHNfq3TKoQ,3948,142926,69965057,0.036,-0.036,-0.039,1,1,1,2
GIN-WJzuZhw,3545,87207,52376192,0.021,-0.036,-0.039,1,3,3,4
CsnTVgXFOn8,1251,48802,5665959,-0.032,-0.037,-0.039,1,2,3,4
MQkKcwfue0c,1623,79160,29558811,0.039,-0.036,-0.039,1,2,3,3
oLYCGnFBzhs,2905,114191,50303206,0.034,-0.036,-0.039,1,1,2,3
M1Qsq9urXhQ,7091,197849,24300092,-0.038,-0.037,-0.039,1,2,2,2
7kfKrbhzEDA,174,5543,1576081,-0.009,-0.036,-0.039,1,1,2,2
YLMaijBjqbk,129,19914,4085039,0.108,-0.036,-0.039,1,0,0,1
TV23Whg3GrM,114,32772,6320943,0.23,-0.036,-0.039,1,1,2,2
fBSO0jWAPdc,275,34116,7058789,0.077,-0.036,-0.039,1,1,0,1
0YU8A1USNY4,87,5172,1354595,0.024,-0.036,-0.039,1,1,1,0
1FmFxG3Dfi8,9995,492300,40221508,-0.035,-0.037,-0.039,1,0,0,0
1UVrk_D6gLY,54684,2203229,321633427,-0.025,-0.037,-0.039,1,1,1,1
bZMPz5lzb2U,49152,953292,130798198,-0.042,-0.037,-0.039,1,1,0,1
tGAEloRY0og,49,1932,85481,-0.047,-0.037,-0.039,1,4,4,4
EqtTVB-i4PE,2997,181660,27823399,-0.008,-0.037,-0.039,1,4,4,4
A4BUnfPUt4U,3010,99858,5300580,-0.047,-0.037,-0.039,1,3,3,4
