track_id,track_popularity,artist_popularity
7rWgGyRK7RAqAAXy4bLft9,75,78
3oEkrIfXfSh9zGnE7eBzSV,76,78
5BckPAYcKEJuYs1eV1BHHe,77,78
4euAGZTszWPrriggYK0HG9,79,78
3Dy4REq8O09IlgiwuHQ3sk,76,78
762B4bOcXF7I2Y8UlKTyTy,75,78
0J2p4KYdr6Mg4ET6JPlbe1,74,78
4kKdvXD0ez7jp1296JmAts,57,74
2FPfeYlrbSBR8PwCU0zaqq,57,74
4HEOgBHRCExyYVeTyrXsnL,53,74
3spdoTYpuCpmq19tuD0bOe,75,74
4feXcsElKIVsGwkbnTHAfV,76,74
6YeDjSHCDmJKgU8foiaruL,48,74
5b7OgznPJJr1vHNYGyvxau,74,74
74VR3AkGPhbYXnxcOYa16x,72,74
4FmCUATNIarCQh72JYdvnm,72,74
5yNgdD8E6WruhULb4n2Con,54,74
6BePGk3eCan4FqaW2X8Qy3,83,82
18asYwWugKjjsihZ0YvRxO,81,82
0bI7K9Becu2dtXK1Q3cZNB,80,82
0zKbDrEXKpnExhGQRe9dxt,85,82
6f3Slt0GbA2bPZlz0aIFXN,80,82
3Z7CaxQkqbIs1rewKi6v4W,75,82
2yEHX6MqAXPyD7bm47A2Br,71,82
4Et6tUEO7biKxZEfJXpNj1,77,74
3KruoUtSkm84Az0bJunnxl,71,82
4vvnuJlgBeNVwq3TNmLMNX,66,82
7rglLriMNBPAyuJOMGwi39,72,81
1jDJFeK9x3OZboIAHsY9k2,86,81
3lFwSDBCNo3CcN09UppUnm,64,81
3gdewACMIVMEWVbyb8O9sY,83,81
38zsOOcu31XbbYj9BIPUF1,82,81
7HW5WIw7ZgZORCzUxv5gW5,81,81
2TVxnKdb3tqe1nhQWwwZCO,79,81
6sBWmE23q6xQHlnEZ8jYPT,46,81
4IRHwIZHzlHT1FQpRa5RdE,79,81
3bH2Eu9A9ymI4UnGHRmoXg,57,87
4Li2WHPkuyCdtmokzW2007,81,82
2igwFfvr1OAGX9SKDCPBwO,84,82
5sNESr6pQfIhL3krM8CtZn,81,82
7LR85XLWw2yXqKBSI5brbG,81,82
3Osd3Yf8K73aj4ySn6LrvK,70,82
1gT5TGwbkkkUliNzHRIGi1,74,82
5ljCWsDlSyJ41kwqym2ORw,73,82
6vegnfDS8DAEaCqWaPYGPy,68,82
5Pt83OUaK3K9C2if4C5JOk,70,82
4VCbgIdr8ptegWeJpqLVHH,72,95
2dHHgzDwk4BJdRwy9uXhTO,93,87
1bDbXMyjaUIooNwFE9wn0N,88,95
3F5CgOj3wFlRv51JsHbxhe,90,95
4WuOWVnAqvEQxgSRrspBgt,82,87
2KLwPaRDOB87XOYAT2fgxh,80,95
6pcywuOeGGWeOQzdUyti6k,87,89
34tz0eDhGuFErIuW3q4mPX,80,95
46s57QULU02Voy0Kup6UEb,76,95
2ZL7WZcjuYKi1KUDtp4kCC,84,95
2BcMwX1MPV6ZHP4tUT9uq6,83,95
3sNVsP50132BTNlImLx70i,86,89
4EWCNWgDS8707fNSZ1oaA5,88,89
5TRPicyLGbAF2LGBFbHGvO,88,89
4Li2WHPkuyCdtmokzW2007,81,82
4KW1lqgSr8TKrvBII0Brf8,86,89
0j2T0R9dR9qdJYsB7ciXhf,84,89
7rbECVPkY5UODxoOUVKZnA,87,89
3s7MCdXyWmwjdcWh7GWXas,83,89
4iz9lGMjU1lXS51oPmUmTe,83,89
1PS1QMdUqOal0ai3Gt7sDQ,82,89
1uKjQoh8JZj9ryuYRhpd7E,82,82
6F9yAYUaNbUhdlQyt5uZ3b,81,82
6vPAmoERUMRoTZaCCSWQ12,80,82
1lKI9y1DL6QnYTZguVmACX,80,82
7BwxbmYFy0l3ROHDjV2c14,78,82
1livAifXh1DMv25kTfFFHR,60,82
27XboT5Wb8VOn7A0heo3Ei,76,82
2DAsLftcRKP3iarCPmI1RY,77,82
1jxO9AwMqYynDsuMWKrPvi,74,82
5kB8WUUla9s2w7yXD7h4CQ,59,82
1xzi1Jcr7mEi9K2RfzLOqS,87,85
5IVuqXILoxVWvWEPm82Jxr,81,85
1Hohk6AufHZOrrhMXZppax,80,85
5pyoxDZ1PX0KxBxiRVxA4U,79,85
3ERa3mEeOnrh2Mc47qM6T1,68,85
1z6WtY7X4HQJvzxC4UgkSf,78,85
0314PeD1sQNonfVWix3B2K,78,85
1bhUWB0zJMIKr9yVPrkEuI,72,87
6jG2YzhxptolDzLHTGLt7S,75,85
1uXbwHHfgsXcUKfSZw5ZJ0,75,85
4EQOGfssbSpTlV6EZRtrSv,70,87
69vlMrzHwATKzupwNcUPyK,82,94
228BxWXUYQPJrJYHDLOHkj,87,85
48AJSd42lXpicsGqcgopof,76,85
26QKsGW4hMuwiEE1ftUMHe,82,85
6habFhsOp2NvshLv26DqMb,82,72
5w9c2J52mkdntKOmRLeM2m,81,85
2FNqnsX74ZlwduUAcnmzee,78,85
2jnZUvhw2LTvDI6YidRVcO,78,85
7fGODUqa0gtkb72oBVCgCD,79,85
4NqkE7kRUvMDEdcqD96EDO,68,87
7AzlLxHn24DxjgQX73F9fU,81,81
527k23H0A4Q0UJN3vGs0Da,78,81
7hxHWCCAIIxFLCzvDgnQHX,77,67
4ZevD501qZiFK7FY8DFn0V,59,81
0Li1OuXXfi7950ilZUFGkF,76,81
2KdKh9vHbKW0tZLqtpxxI0,68,87
0bkTdkWwGk3OGFX0afD3Wj,71,67
0IX5OFffosy8wk16m1IFCa,69,81
1dp8aQANyTRKssDeAYPiZe,65,69
63Zaf8Rci6eOUPqDQ4fUFx,77,77
0IqCoZ168iRc9LqfrYgpZy,72,77
56f5qnyAlZdlz8wrUDA50h,75,69
4v7riPZWyAclrOfUSwD0zp,65,77
6i28Cxd4CUiHmcowzQW38w,67,77
56Ta1O7Jxxpjnc6cWdDKUo,72,76
5EbtodsuLbxrFDH6j5avVS,74,77
0wIIVkpeRLjoGAYkeYXevR,71,77
3eSJmGWqoBRx5wbFCtvPtz,71,62
4G3PTss3mU33Tau7t4KbwE,72,87
3lFwSDBCNo3CcN09UppUnm,64,81
6I9VzXrHxO9rA9A5euc8Ak,84,78
