id,video_num,video_id,comment_text
tAGnKpE4NCI3,31,tAGnKpE4NCI,Nothing else  matters  is a bad song miravalle
tAGnKpE4NCI4,31,tAGnKpE4NCI,Not really a Metallica fan but this a really great song
wsrvmNtWU4E0,33,wsrvmNtWU4E,An old Irish drinking song.
wsrvmNtWU4E1,33,wsrvmNtWU4E,"!!!!Rock and metal station. Google it: ""shogun rocks laut""  Every friday 24 hours of non-stop metal. Have fun!!!!!!"
wsrvmNtWU4E2,33,wsrvmNtWU4E,My favorite
wsrvmNtWU4E3,33,wsrvmNtWU4E,"W Polsce ze słoików pije się spirytus, w tak zwanych musztardówkach"
wsrvmNtWU4E4,33,wsrvmNtWU4E,shit version. degenerate video. Metallica you suck. you literally ruined modern music.
Ckom3gf57Yw0,34,Ckom3gf57Yw,Prom night dumpster baby song
Ckom3gf57Yw1,34,Ckom3gf57Yw,"Пол века прожито, а эта песня греет мою  душу.Включаю. Ее когда мне очень. Одиноко.Я. Просто тащусь от этой темы."
Ckom3gf57Yw2,34,Ckom3gf57Yw,Death over n over n over n over again again n again best to kill song. Yep that to just bleeding 🩸 feels good 👍
Ckom3gf57Yw3,34,Ckom3gf57Yw,Only if u really know what its really about.
Ckom3gf57Yw4,34,Ckom3gf57Yw,"Só tenho 3 passado merd, na vida"
oTS5cPTqFWM0,35,oTS5cPTqFWM,PERFECT!!! Thank you SO much!!
_u-7rWKnVVo0,37,_u-7rWKnVVo,METALLICA WILL keep being the metal king forever
_u-7rWKnVVo1,37,_u-7rWKnVVo,Good old Metallica is back.
_u-7rWKnVVo2,37,_u-7rWKnVVo,this is KAT
_u-7rWKnVVo3,37,_u-7rWKnVVo,Like Lars could really play double pedal that was edited
_u-7rWKnVVo4,37,_u-7rWKnVVo,"A real Metallica song, l love it 🤘"
A8MO7fkZc5o0,38,A8MO7fkZc5o,"Сочинить такую композицию и так потрясающе её исполнить могут только Боги  хеви - металла и это
МЕТАЛЛИКА !!!"
A8MO7fkZc5o1,38,A8MO7fkZc5o,The undertaker 2000 theme
A8MO7fkZc5o2,38,A8MO7fkZc5o,If you think your missing something it’s this
