,uri,tracks_id,danceability,energy,key,loudness,mode,speechiness,acousticness,intrumentalness,liveness,valence,tempo,duration_ms,time_signature,analysis_url,track_href
4030,spotify:track:3bNWnx8gL7vE28hMwY8epM,3bNWnx8gL7vE28hMwY8epM,0.467,0.0359,5,-21.371,1,0.0505,0.932,0.0,0.0737,0.665,186.622,194040,3,https://api.spotify.com/v1/audio-analysis/3bNWnx8gL7vE28hMwY8epM,https://api.spotify.com/v1/tracks/3bNWnx8gL7vE28hMwY8epM
4031,spotify:track:1ZCIiSCc73CugkpWp7UYee,1ZCIiSCc73CugkpWp7UYee,0.77,0.392,7,-5.78,1,0.0756,0.967,0.0,0.337,0.9,164.223,75840,4,https://api.spotify.com/v1/audio-analysis/1ZCIiSCc73CugkpWp7UYee,https://api.spotify.com/v1/tracks/1ZCIiSCc73CugkpWp7UYee
4032,spotify:track:3Fiz4tFoVBosOUm2uMgdlL,3Fiz4tFoVBosOUm2uMgdlL,0.303,0.838,1,-9.004,0,0.132,0.00143,0.0,0.181,0.304,159.981,275649,4,https://api.spotify.com/v1/audio-analysis/3Fiz4tFoVBosOUm2uMgdlL,https://api.spotify.com/v1/tracks/3Fiz4tFoVBosOUm2uMgdlL
4033,spotify:track:4gofFADVe6CBXoNQHuxwiF,4gofFADVe6CBXoNQHuxwiF,0.841,0.508,6,-6.366,0,0.0592,0.908,0.0,0.399,0.935,101.854,89253,3,https://api.spotify.com/v1/audio-analysis/4gofFADVe6CBXoNQHuxwiF,https://api.spotify.com/v1/tracks/4gofFADVe6CBXoNQHuxwiF
4034,spotify:track:5tbesmuXa9zGysiRzl3vra,5tbesmuXa9zGysiRzl3vra,0.413,0.00909,7,-23.799,1,0.0341,0.992,0.0,0.128,0.436,93.437,172987,5,https://api.spotify.com/v1/audio-analysis/5tbesmuXa9zGysiRzl3vra,https://api.spotify.com/v1/tracks/5tbesmuXa9zGysiRzl3vra
4035,spotify:track:6SwuCmtNUXxkWD8nhWpWyo,6SwuCmtNUXxkWD8nhWpWyo,0.397,0.333,5,-11.273,1,0.0361,0.884,0.0,0.147,0.697,89.597,230409,4,https://api.spotify.com/v1/audio-analysis/6SwuCmtNUXxkWD8nhWpWyo,https://api.spotify.com/v1/tracks/6SwuCmtNUXxkWD8nhWpWyo
4036,spotify:track:3TLhkXFenusy509GrA8RUL,3TLhkXFenusy509GrA8RUL,0.93,0.817,7,-6.424,1,0.184,0.355,0.0,0.105,0.649,100.152,270027,4,https://api.spotify.com/v1/audio-analysis/3TLhkXFenusy509GrA8RUL,https://api.spotify.com/v1/tracks/3TLhkXFenusy509GrA8RUL
4037,spotify:track:6Kh9uXCwBCaSJUaNI4IYBE,6Kh9uXCwBCaSJUaNI4IYBE,0.34,0.308,5,-9.93,1,0.0275,0.505,0.0022,0.101,0.228,161.153,253133,3,https://api.spotify.com/v1/audio-analysis/6Kh9uXCwBCaSJUaNI4IYBE,https://api.spotify.com/v1/tracks/6Kh9uXCwBCaSJUaNI4IYBE
4038,spotify:track:4LA7dTvssOGgLMthwbkTGX,4LA7dTvssOGgLMthwbkTGX,0.608,0.911,2,-5.406,1,0.12,0.324,0.0,0.165,0.682,179.491,262853,4,https://api.spotify.com/v1/audio-analysis/4LA7dTvssOGgLMthwbkTGX,https://api.spotify.com/v1/tracks/4LA7dTvssOGgLMthwbkTGX
4039,spotify:track:7MSpEzjmxk6cTyd2Wl06IM,7MSpEzjmxk6cTyd2Wl06IM,0.902,0.43,11,-7.239,1,0.0567,0.899,0.0,0.0964,0.83,94.043,67173,4,https://api.spotify.com/v1/audio-analysis/7MSpEzjmxk6cTyd2Wl06IM,https://api.spotify.com/v1/tracks/7MSpEzjmxk6cTyd2Wl06IM
4040,spotify:track:5umBVyJjhaz4ECIyFhUFsq,5umBVyJjhaz4ECIyFhUFsq,0.699,0.114,0,-21.474,1,0.175,0.91,0.971,0.106,0.796,83.881,43147,4,https://api.spotify.com/v1/audio-analysis/5umBVyJjhaz4ECIyFhUFsq,https://api.spotify.com/v1/tracks/5umBVyJjhaz4ECIyFhUFsq
4041,spotify:track:6ZblDQM0Gq0daaPAwuHOmD,6ZblDQM0Gq0daaPAwuHOmD,0.795,0.438,3,-7.38,1,0.266,0.692,0.0,0.23,0.824,95.476,136500,4,https://api.spotify.com/v1/audio-analysis/6ZblDQM0Gq0daaPAwuHOmD,https://api.spotify.com/v1/tracks/6ZblDQM0Gq0daaPAwuHOmD
4042,spotify:track:14YMhhz4OzzkjUVJqSVHkX,14YMhhz4OzzkjUVJqSVHkX,0.717,0.131,10,-16.016,1,0.0378,0.995,0.0,0.289,0.959,78.773,221565,3,https://api.spotify.com/v1/audio-analysis/14YMhhz4OzzkjUVJqSVHkX,https://api.spotify.com/v1/tracks/14YMhhz4OzzkjUVJqSVHkX
4043,spotify:track:3qLrwfaXYmMj1k3qD8CRFN,3qLrwfaXYmMj1k3qD8CRFN,0.753,0.123,4,-16.44,1,0.535,0.921,0.0,0.743,0.909,112.762,178120,4,https://api.spotify.com/v1/audio-analysis/3qLrwfaXYmMj1k3qD8CRFN,https://api.spotify.com/v1/tracks/3qLrwfaXYmMj1k3qD8CRFN
4044,spotify:track:6Fv0O8eHNcWO1DmF0EMrRc,6Fv0O8eHNcWO1DmF0EMrRc,0.511,0.318,10,-4.928,1,0.0515,0.927,0.0,0.0485,0.659,172.543,95293,5,https://api.spotify.com/v1/audio-analysis/6Fv0O8eHNcWO1DmF0EMrRc,https://api.spotify.com/v1/tracks/6Fv0O8eHNcWO1DmF0EMrRc
4045,spotify:track:0SYC9Cmjty5bKDQ6mqj3nw,0SYC9Cmjty5bKDQ6mqj3nw,0.579,0.642,9,-8.397,0,0.0299,0.427,0.00721,0.0961,0.225,120.008,290479,4,https://api.spotify.com/v1/audio-analysis/0SYC9Cmjty5bKDQ6mqj3nw,https://api.spotify.com/v1/tracks/0SYC9Cmjty5bKDQ6mqj3nw
4046,spotify:track:7EJGWpYxtTOrJSEA09ihGZ,7EJGWpYxtTOrJSEA09ihGZ,0.687,0.316,0,-17.556,0,0.36,0.987,1.58e-06,0.463,0.796,114.238,182973,4,https://api.spotify.com/v1/audio-analysis/7EJGWpYxtTOrJSEA09ihGZ,https://api.spotify.com/v1/tracks/7EJGWpYxtTOrJSEA09ihGZ
4047,spotify:track:35zjgo7EZJ84SgBSKD7TQT,35zjgo7EZJ84SgBSKD7TQT,0.548,0.538,5,-11.349,1,0.51,0.778,0.0,0.198,0.692,112.505,201640,3,https://api.spotify.com/v1/audio-analysis/35zjgo7EZJ84SgBSKD7TQT,https://api.spotify.com/v1/tracks/35zjgo7EZJ84SgBSKD7TQT
